OBJECTID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,OwnOcc_e19,OwnOcc_m19,ValLt50k_e19,ValLt50k_m19,pValLt50k_e19,pValLt50k_m19,Val50_100k_e19,Val50_100k_m19,pVal50_100k_e19,pVal50_100k_m19,Val100_150k_e19,Val100_150k_m19,pVal100_150k_e19,pVal100_150k_m19,Val150_200k_e19,Val150_200k_m19,pVal150_200k_e19,pVal150_200k_m19,Val200_300k_e19,Val200_300k_m19,pVal200_300k_e19,pVal200_300k_m19,Val300_500k_e19,Val300_500k_m19,pVal300_500k_e19,pVal300_500k_m19,Val500k_1m_e19,Val500k_1m_m19,pVal500k_1m_e19,pVal500k_1m_m19,Val1mP_e19,Val1mP_m19,pVal1mP_e19,pVal1mP_m19,ValLt100k_e19,ValLt100k_m19,pValLt100k_e19,pValLt100k_m19,Val100_300k_e19,Val100_300k_m19,pVal100_300k_e19,pVal100_300k_m19,Val300kPlus_e19,Val300kPlus_m19,pVal300kPlus_e19,pVal300kPlus_m19,mMedHUValue_e19,mMedHUValue_m19,SHAPE_Length,SHAPE_Area
361,Heart of Georgia Altamaha,No,31065,3621,ZCTA,ZCTA5 31065,443,133,125,84,28.2,17.1,124,74,28,14.4,60,52,13.5,10.9,68,53,15.3,11,58,45,13.1,9.5,0,18,0,4.2,0,18,0,4.2,8,20,1.8,4.5,249,112,56.2,18.9,186,87,42,15,8,33,1.8,7.4,90800,29054,0.848578952473891,0.0161924269428126
362,Middle Georgia,No,31066,3622,ZCTA,ZCTA5 31066,319,75,27,38,8.5,11.9,109,56,34.2,15.8,46,37,14.4,11.1,57,42,17.9,12.4,31,30,9.7,9.3,49,50,15.4,15.2,0,18,0,5.8,0,23,0,7.1,136,68,42.6,18.9,134,63,42,17.3,49,58,15.4,17.7,124500,63118,0.854062861850556,0.0169994121304191
363,Central Savannah River Area,No,31067,3623,ZCTA,ZCTA5 31067,97,37,28,32,28.9,31.6,17,28,17.5,28.2,3,14,3.1,14.3,26,28,26.8,27.2,9,16,9.3,15.9,14,25,14.4,24.9,0,18,0,19,0,23,0,23.2,45,43,46.4,40.5,38,35,39.2,33.1,14,38,14.4,38.9,150500,146184,0.202170226088269,0.000867161750677093
364,River Valley,No,31068,3624,ZCTA,ZCTA5 31068,935,164,537,156,57.4,13.3,235,86,25.1,8,89,49,9.5,4.9,23,31,2.5,3.3,23,30,2.5,3.2,24,25,2.6,2.7,4,20,0.4,2.1,0,33,0,3.5,772,178,82.6,12.3,135,65,14.4,6.5,28,46,3,4.9,45700,6058,1.31937469618468,0.0227543664551085
365,Middle Georgia,No,31069,3625,ZCTA,ZCTA5 31069,4922,398,236,123,4.8,2.5,954,247,19.4,4.8,1335,284,27.1,5.3,1120,221,22.8,4.1,881,219,17.9,4.2,320,100,6.5,2,55,43,1.1,0.9,21,36,0.4,0.7,1190,276,24.2,5.3,3336,421,67.8,6.6,396,114,8,2.2,147900,8189,1.02474498351362,0.0241829962344698
366,River Valley,No,31070,3626,ZCTA,ZCTA5 31070,345,104,84,75,24.3,20.5,122,83,35.4,21.5,59,50,17.1,13.4,35,35,10.1,9.5,18,31,5.2,8.8,27,25,7.8,6.8,0,18,0,5.3,0,23,0,6.5,206,112,59.7,26.9,112,68,32.5,17.1,27,38,7.8,10.8,76600,37788,0.823716950472889,0.0127871393154788
367,HOGA / MG,No,31071,3627,ZCTA,ZCTA5 31071,395,68,118,36,29.9,7.6,161,59,40.8,13.1,70,35,17.7,8.4,1,13,0.3,3.3,12,19,3,4.8,7,9,1.8,2.2,0,18,0,4.7,26,35,6.6,8.8,279,69,70.6,12.5,83,42,21,10.1,33,41,8.4,10.2,64400,12211,1.06361398870695,0.0137269414582204
368,HOGA / RV,No,31072,3628,ZCTA,ZCTA5 31072,430,85,132,56,30.7,11.4,140,54,32.6,10.7,33,30,7.7,6.8,44,35,10.2,7.9,30,25,7,5.6,45,42,10.5,9.4,0,18,0,4.3,6,21,1.4,4.9,272,77,63.3,12.9,107,52,24.9,11.1,51,50,11.9,11.4,79000,15085,0.906326319981006,0.018802830603541
369,Heart of Georgia Altamaha,No,31075,3629,ZCTA,ZCTA5 31075,802,132,176,84,21.9,9.9,381,134,47.5,14.7,22,19,2.7,2.3,83,49,10.3,5.9,117,83,14.6,10.1,17,18,2.1,2.2,6,16,0.7,2,0,23,0,2.8,557,158,69.5,16,222,98,27.7,11.4,23,33,2.9,4.1,77200,14565,0.93524587964036,0.013663424854564
370,River Valley,No,31076,3630,ZCTA,ZCTA5 31076,987,149,392,105,39.7,8.8,314,109,31.8,9.9,76,45,7.7,4.4,133,72,13.5,7,47,36,4.8,3.6,18,21,1.8,2.1,7,22,0.7,2.2,0,23,0,2.3,706,151,71.5,10.9,256,93,25.9,8.6,25,38,2.5,3.8,64800,18489,1.4467431752929,0.0302901138165184
371,ARC / TR,Yes,30228,3279,ZCTA,ZCTA5 30228,10369,710,728,197,7,1.8,979,242,9.4,2.2,2606,463,25.1,4.1,2500,491,24.1,4.4,2321,423,22.4,3.8,1074,289,10.4,2.7,152,114,1.5,1.1,9,42,0.1,0.4,1707,312,16.5,2.8,7427,797,71.6,5.9,1235,313,11.9,2.9,162600,5779,1.03619001684096,0.0192164659532758
372,Heart of Georgia Altamaha,No,31077,3631,ZCTA,ZCTA5 31077,436,77,165,67,37.8,13.9,167,57,38.3,11.3,34,26,7.8,5.9,35,27,8,6,18,14,4.1,3.2,7,10,1.6,2.2,10,19,2.3,4.4,0,23,0,5.2,332,88,76.1,15.2,87,40,20,8.6,17,31,3.9,7.1,72300,13886,1.41052058148297,0.0239689964962814
373,Three Rivers,Partial,30230,3280,ZCTA,ZCTA5 30230,2181,263,264,103,12.1,4.5,697,193,32,7.9,571,148,26.2,6,239,90,11,3.9,256,106,11.7,4.6,137,61,6.3,2.7,13,25,0.6,1.1,4,28,0.2,1.3,961,218,44.1,8.5,1066,203,48.9,7.2,154,71,7.1,3.2,113500,14767,1.62648511655918,0.0332969634058825
374,Middle Georgia,No,31078,3632,ZCTA,ZCTA5 31078,782,125,253,90,32.4,10.3,244,86,31.2,9.7,74,38,9.5,4.6,104,51,13.3,6.2,44,45,5.6,5.7,57,47,7.3,5.9,3,14,0.4,1.8,3,19,0.4,2.5,497,124,63.6,12.2,222,78,28.4,8.9,63,53,8.1,6.7,71400,18076,0.938082701989628,0.0264447761895049
375,ARC / MG / TR,Partial,30233,3281,ZCTA,ZCTA5 30233,5893,412,489,180,8.3,3,1402,318,23.8,5.1,1239,229,21,3.6,1179,247,20,4,964,211,16.4,3.4,532,147,9,2.4,15,32,0.3,0.5,73,61,1.2,1,1891,365,32.1,5.8,3382,398,57.4,5.4,620,163,10.5,2.7,143500,9417,1.65913119153455,0.0401094920277535
376,HOGA / SG,No,31079,3633,ZCTA,ZCTA5 31079,703,106,253,76,36,9.3,187,64,26.6,8.1,136,62,19.3,8.4,67,44,9.5,6.1,32,21,4.6,3,9,19,1.3,2.7,19,23,2.7,3.2,0,23,0,3.2,440,99,62.6,10.4,235,79,33.4,10.1,28,37,4,5.3,73800,24585,1.66275151332237,0.0278811826994966
377,Heart of Georgia Altamaha,No,30448,3383,ZCTA,ZCTA5 30448,19,15,8,36,42.1,187.1,9,17,47.4,80.3,0,18,0,96.8,0,18,0,96.8,2,13,10.5,69.7,0,18,0,96.8,0,18,0,96.8,0,23,0,118.5,17,40,89.5,197.4,2,29,10.5,153.6,0,34,0,181,61300,47790,0.159049281443651,0.000723346863268201
378,ARC / TR,Partial,30234,3282,ZCTA,ZCTA5 30234,496,138,89,89,17.9,17.2,170,88,34.3,14.9,94,57,19,10.3,79,56,15.9,10.4,37,40,7.5,7.8,3,14,0.6,2.7,14,26,2.8,5.1,10,25,2,5,259,125,52.2,20.6,210,90,42.3,13.7,27,38,5.4,7.6,98300,18129,0.419242089895207,0.00296491692848052
379,River Valley,No,31081,3634,ZCTA,ZCTA5 31081,16,25,0,37,0,229.8,0,29,0,181.7,0,18,0,114.9,16,28,100,81.3,0,18,0,114.9,0,18,0,114.9,0,18,0,114.9,0,23,0,140.7,0,47,0,293,16,38,100,181.7,0,34,0,215,,,0.743824177309439,0.00880815289953733
380,Coastal Regional Commission,No,30449,3384,ZCTA,ZCTA5 30449,20,16,7,35,35,174.3,9,25,45,119.2,4,15,20,72.1,0,18,0,91.9,0,18,0,91.9,0,18,0,91.9,0,18,0,91.9,0,23,0,112.6,16,43,80,206.3,4,30,20,148.6,0,34,0,172,66000,19083,0.356378498285274,0.00191998301645056
381,Atlanta Regional Commission,Yes,30236,3283,ZCTA,ZCTA5 30236,8564,474,535,163,6.2,1.9,1936,321,22.6,3.5,2312,366,27,4,1510,247,17.6,2.7,1274,307,14.9,3.5,702,229,8.2,2.6,204,102,2.4,1.2,91,71,1.1,0.8,2471,360,28.9,3.9,5096,538,59.5,5.3,997,261,11.6,3,138100,5709,0.840798392309842,0.0085035269905351
382,CSRA / MG,No,31082,3635,ZCTA,ZCTA5 31082,2552,223,534,145,20.9,5.4,849,204,33.3,7.5,558,154,21.9,5.7,284,102,11.1,3.9,179,65,7,2.5,85,44,3.3,1.7,46,63,1.8,2.5,17,36,0.7,1.4,1383,250,54.2,8.6,1021,195,40,6.8,148,85,5.8,3.3,87900,7952,1.97918698541726,0.0567717017687095
383,Coastal Regional Commission,No,30450,3385,ZCTA,ZCTA5 30450,636,135,151,72,23.7,10.2,230,98,36.2,13.3,47,28,7.4,4,57,32,9,4.6,99,72,15.6,10.8,19,25,3,3.8,25,23,3.9,3.5,8,22,1.3,3.4,381,121,59.9,14.2,203,84,31.9,11.2,52,40,8.2,6.1,80900,19247,0.875093398028347,0.0126266955955769
384,Heart of Georgia Altamaha,No,31083,3636,ZCTA,ZCTA5 31083,91,43,35,34,38.5,33,33,26,36.3,22.9,16,14,17.6,13.2,2,14,2.2,14.9,5,8,5.5,8.7,0,18,0,20.2,0,18,0,20.2,0,23,0,24.7,68,43,74.7,31.5,23,21,25.3,20.2,0,34,0,37.8,60900,13976,0.155783552243509,0.000513027993849864
385,Heart of Georgia Altamaha,No,30451,3386,ZCTA,ZCTA5 30451,15,15,5,33,33.3,216.7,0,29,0,193.8,2,13,13.3,87.9,8,18,53.3,110.4,0,18,0,122.6,0,18,0,122.6,0,18,0,122.6,0,23,0,150.1,5,44,33.3,290.7,10,29,66.7,183.1,0,34,0,229.3,,,0.0311020861276912,1.88353902020022e-05
386,Coastal Regional Commission,No,30452,3387,ZCTA,ZCTA5 30452,514,111,138,86,26.8,15.6,177,76,34.4,12.8,61,49,11.9,9.2,48,28,9.3,5.1,24,21,4.7,4.1,28,28,5.4,5.4,38,33,7.4,6.2,0,23,0,4.4,315,115,61.3,18,133,61,25.9,10.4,66,49,12.8,9.1,90000,36434,0.680157155352729,0.0139141294267324
387,Heart of Georgia Altamaha,No,30453,3388,ZCTA,ZCTA5 30453,1692,251,668,203,39.5,10.5,426,133,25.2,6.9,334,113,19.7,6,126,74,7.4,4.2,93,70,5.5,4.1,18,18,1.1,1.1,27,26,1.6,1.5,0,36,0,2.1,1094,243,64.7,10.7,553,152,32.7,7.6,45,48,2.7,2.8,73300,12677,1.41918561907528,0.031128431935075
388,Heart of Georgia Altamaha,No,30454,3389,ZCTA,ZCTA5 30454,245,121,0,37,0,15,162,109,66.1,30.4,32,51,13.1,19.7,30,45,12.2,17.3,21,29,8.6,11.1,0,18,0,7.5,0,18,0,7.5,0,23,0,9.2,162,115,66.1,33.9,83,74,33.9,25,0,34,0,14,81900,40829,0.69097002030792,0.00904601971135127
389,Coastal Regional Commission,No,30455,3390,ZCTA,ZCTA5 30455,181,65,84,53,46.4,24,29,22,16,10.8,46,22,25.4,8.4,8,9,4.4,4.4,5,15,2.8,8.4,9,18,5,10,0,18,0,10.2,0,23,0,12.4,113,57,62.4,22.3,59,28,32.6,10.5,9,34,5,18.9,55400,51730,0.734369160156214,0.0110777406620678
390,Central Savannah River Area,No,30456,3391,ZCTA,ZCTA5 30456,620,121,140,79,22.6,11.9,270,89,43.5,11.6,104,73,16.8,11.3,21,21,3.4,3.3,71,51,11.5,7.9,0,18,0,3,14,22,2.3,3.6,0,23,0,3.6,410,119,66.1,14.2,196,91,31.6,13.3,14,37,2.3,5.9,75000,16578,1.18030121470093,0.0202933259671785
391,Heart of Georgia Altamaha,No,30457,3392,ZCTA,ZCTA5 30457,1412,195,521,151,36.9,9.4,590,163,41.8,10,154,74,10.9,5,56,37,4,2.6,66,45,4.7,3.1,7,22,0.5,1.6,18,35,1.3,2.4,0,33,0,2.3,1111,222,78.7,11.4,276,94,19.5,6.1,25,53,1.8,3.7,68400,6307,2.00624180004124,0.0445701239665904
392,Coastal Regional Commission,No,30458,3393,ZCTA,ZCTA5 30458,6488,357,445,152,6.9,2.3,1240,268,19.1,4,1796,331,27.7,4.9,1010,194,15.6,2.9,1127,237,17.4,3.5,643,159,9.9,2.4,183,77,2.8,1.2,44,48,0.7,0.7,1685,308,26,4.5,3933,451,60.6,6.1,870,184,13.4,2.7,143500,6406,1.41488266478657,0.0374552157025532
393,Coastal Regional Commission,No,30460,3394,ZCTA,ZCTA5 30460,0,13,0,37,,,0,29,,,0,18,,,0,18,,,0,18,,,0,18,,,0,18,,,0,23,,,0,47,,,0,32,,,0,34,,,,,0.00856935411412912,4.57525615090829e-06
394,Coastal Regional Commission,No,30461,3395,ZCTA,ZCTA5 30461,3609,358,280,123,7.8,3.3,482,175,13.4,4.7,915,211,25.4,5.3,701,192,19.4,5,729,190,20.2,4.9,435,153,12.1,4.1,54,47,1.5,1.3,13,36,0.4,1,762,214,21.1,5.6,2345,343,65,7,502,164,13.9,4.3,157600,12124,1.53436323629489,0.041132195328166
395,Heart of Georgia Altamaha,No,30464,3396,ZCTA,ZCTA5 30464,12,11,3,35,25,290,4,27,33.3,222.3,5,15,41.7,121.3,0,18,0,153.2,0,18,0,153.2,0,18,0,153.2,0,18,0,153.2,0,23,0,187.6,7,44,58.3,363.5,5,30,41.7,248.3,0,34,0,286.6,77500,55097,0.0605801238027807,0.000208302109111506
396,Coastal Regional Commission,No,30467,3397,ZCTA,ZCTA5 30467,3277,218,984,196,30,5.7,870,163,26.5,4.7,647,148,19.7,4.3,217,66,6.6,2,279,87,8.5,2.6,128,57,3.9,1.7,152,71,4.6,2.2,0,36,0,1.1,1854,255,56.6,6.8,1143,184,34.9,5.1,280,98,8.5,2.9,82700,8772,2.53665524609563,0.130805206860485
397,Heart of Georgia Altamaha,No,30470,3398,ZCTA,ZCTA5 30470,105,53,25,32,23.8,28.1,5,24,4.8,22.4,11,10,10.5,8.3,31,35,29.5,29.3,26,33,24.8,28.4,7,18,6.7,16.5,0,18,0,17.5,0,23,0,21.4,30,40,28.6,35.1,68,49,64.8,32.7,7,34,6.7,32.2,159300,31463,0.918412692681575,0.00729044235354703
398,CRC / HOGA,No,30471,3399,ZCTA,ZCTA5 30471,1205,156,441,119,36.6,8.6,443,126,36.8,9.3,157,63,13,4.9,40,26,3.3,2.1,102,59,8.5,4.7,18,23,1.5,1.9,4,15,0.3,1.3,0,23,0,1.9,884,173,73.4,10.8,299,90,24.8,6.7,22,36,1.8,2.9,74200,19125,2.003942645072,0.0368515536344093
399,Heart of Georgia Altamaha,No,30473,3400,ZCTA,ZCTA5 30473,762,126,255,71,33.5,7.6,213,78,28,9.1,92,55,12.1,6.9,49,29,6.4,3.6,110,47,14.4,5.7,22,23,2.9,3,21,28,2.8,3.7,0,23,0,3,468,106,61.4,9.5,251,78,32.9,8.6,43,43,5.6,5.5,71900,17559,1.08222554445379,0.0212879339586145
400,Heart of Georgia Altamaha,No,30474,3401,ZCTA,ZCTA5 30474,3690,400,767,236,20.8,6,907,257,24.6,6.4,715,214,19.4,5.4,611,200,16.6,5.1,326,124,8.8,3.2,329,114,8.9,2.9,31,28,0.8,0.8,4,31,0.1,0.8,1674,349,45.4,8.1,1652,318,44.8,7.1,364,121,9.9,3.1,109000,10251,1.74268311546653,0.0349863790254117
401,Heart of Georgia Altamaha,No,30475,3402,ZCTA,ZCTA5 30475,0,13,0,37,,,0,29,,,0,18,,,0,18,,,0,18,,,0,18,,,0,18,,,0,23,,,0,47,,,0,32,,,0,34,,,,,0.0319463698927819,2.30617395685921e-05
402,Georgia Mountains,No,30573,3458,ZCTA,ZCTA5 30573,15,14,0,37,0,245.1,1,26,6.7,175.3,0,18,0,122.6,4,15,26.7,95.2,4,15,26.7,95.2,5,16,33.3,100.7,0,18,0,122.6,1,18,6.7,123.1,1,45,6.7,301.3,8,28,53.3,178.7,6,30,40,199.8,231300,151887,0.343159307830116,0.00124482813815555
403,Central Savannah River Area,No,30477,3403,ZCTA,ZCTA5 30477,649,79,194,80,29.9,11.8,327,93,50.4,13,40,28,6.2,4.2,33,32,5.1,4.9,47,40,7.2,6.2,8,19,1.2,2.9,0,18,0,2.8,0,23,0,3.5,521,123,80.3,16.3,120,58,18.5,8.7,8,35,1.2,5.4,71100,8832,0.922234076674481,0.0178003539411064
404,GM / NE,Partial,30575,3459,ZCTA,ZCTA5 30575,444,140,23,43,5.2,9.5,52,52,11.7,11.2,129,114,29.1,24.1,88,101,19.8,21.9,84,58,18.9,11.7,48,44,10.8,9.3,20,33,4.5,7.2,0,23,0,5.1,75,68,16.9,14.3,301,163,67.8,29.9,68,59,15.3,12.5,155200,45077,0.398441191246173,0.00293194584175917
405,Georgia Mountains,Yes,30501,3404,ZCTA,ZCTA5 30501,4029,375,326,131,8.1,3.2,382,132,9.5,3.2,661,173,16.4,4,828,205,20.6,4.7,762,202,18.9,4.7,747,213,18.5,5,316,124,7.8,3,7,41,0.2,1,708,186,17.6,4.3,2251,335,55.9,6.5,1070,249,26.6,5.7,190500,11042,0.548598398184354,0.00621942226509609
406,Georgia Mountains,No,30576,3460,ZCTA,ZCTA5 30576,808,122,69,60,8.5,7.3,75,40,9.3,4.7,147,66,18.2,7.7,135,49,16.7,5.5,191,65,23.6,7.2,134,53,16.6,6,40,29,5,3.5,17,21,2.1,2.6,144,72,17.8,8.5,473,105,58.5,9.5,191,64,23.6,7.1,187500,30920,0.835114707147529,0.00989826579501458
407,Georgia Mountains,Yes,30504,3405,ZCTA,ZCTA5 30504,4651,307,148,106,3.2,2.3,525,160,11.3,3.4,730,182,15.7,3.8,925,222,19.9,4.6,944,216,20.3,4.5,988,214,21.2,4.4,333,112,7.2,2.4,58,40,1.2,0.8,673,192,14.5,4,2599,359,55.9,6.8,1379,244,29.6,4.9,199800,23562,0.666100072441853,0.00547101614868039
408,Georgia Mountains,No,30577,3461,ZCTA,ZCTA5 30577,5164,393,782,225,15.1,4.2,1622,308,31.4,5.5,1008,221,19.5,4,622,199,12,3.7,777,240,15,4.5,277,123,5.4,2.4,53,45,1,0.9,23,43,0.4,0.8,2404,381,46.6,6.5,2407,381,46.6,6.5,353,138,6.8,2.6,106200,9139,1.90782177100194,0.042110589937309
409,Georgia Mountains,Yes,30506,3406,ZCTA,ZCTA5 30506,12267,403,664,184,5.4,1.5,768,194,6.3,1.6,1578,241,12.9,1.9,2082,279,17,2.2,2553,286,20.8,2.2,2566,331,20.9,2.6,1811,264,14.8,2.1,245,90,2,0.7,1432,267,11.7,2.1,6213,467,50.6,3.4,4622,433,37.7,3.3,235300,12025,1.50622124438371,0.0315410890641675
410,Georgia Mountains,No,30581,3462,ZCTA,ZCTA5 30581,24,33,0,37,0,153.2,0,29,0,121.1,0,18,0,76.6,0,18,0,76.6,0,18,0,76.6,0,18,0,76.6,24,35,100,54.2,0,23,0,93.8,0,47,0,195.3,0,32,0,132.7,24,46,100,132.7,,,0.0446202149990353,5.11786337644783e-05
411,Georgia Mountains,Yes,30507,3407,ZCTA,ZCTA5 30507,5750,317,378,125,6.6,2.1,907,209,15.8,3.5,1471,251,25.6,4.1,1501,232,26.1,3.8,1057,205,18.4,3.4,280,89,4.9,1.5,107,58,1.9,1,49,40,0.9,0.7,1285,244,22.3,4.1,4029,399,70.1,5.8,436,114,7.6,1.9,153900,7267,0.851212306252727,0.0180860970288016
412,Georgia Mountains,No,30582,3463,ZCTA,ZCTA5 30582,1421,218,38,46,2.7,3.2,78,42,5.5,2.8,228,90,16,5.8,366,133,25.8,8.4,360,90,25.3,5,282,97,19.8,6.1,39,25,2.7,1.7,30,33,2.1,2.3,116,62,8.2,4.2,954,184,67.1,7.8,351,105,24.7,6.3,200100,22743,0.642482297912938,0.0127956318120954
413,Georgia Mountains,Partial,30510,3408,ZCTA,ZCTA5 30510,1762,179,215,83,12.2,4.6,553,143,31.4,7.5,402,111,22.8,5.9,262,82,14.9,4.4,140,53,7.9,2.9,135,59,7.7,3.3,29,26,1.6,1.5,26,36,1.5,2,768,166,43.6,8.3,804,148,45.6,7,190,74,10.8,4.1,115200,15001,0.805783812014184,0.011426959761255
414,Northeast Georgia,No,30601,3464,ZCTA,ZCTA5 30601,3334,354,705,206,21.1,5.8,943,236,28.3,6.4,639,187,19.2,5.2,448,154,13.4,4.4,298,123,8.9,3.6,254,93,7.6,2.7,43,27,1.3,0.8,4,37,0.1,1.1,1648,314,49.4,7.8,1385,272,41.5,6.8,301,104,9,3,101700,16813,0.59356357230329,0.00604376199345342
415,Georgia Mountains,No,30511,3409,ZCTA,ZCTA5 30511,993,135,61,43,6.1,4.2,311,130,31.3,12.3,146,72,14.7,6.9,231,99,23.3,9.5,138,62,13.9,5.9,65,42,6.5,4.2,33,30,3.3,3,8,23,0.8,2.3,372,136,37.5,12.8,515,137,51.9,11.9,106,57,10.7,5.5,132700,41156,0.601527280127608,0.00762949632322733
416,Northeast Georgia,No,30602,3465,ZCTA,ZCTA5 30602,0,13,0,37,,,0,29,,,0,18,,,0,18,,,0,18,,,0,18,,,0,18,,,0,23,,,0,47,,,0,32,,,0,34,,,,,0.138393005735584,0.000183306650715988
417,GM / NW,No,30512,3410,ZCTA,ZCTA5 30512,6848,393,352,124,5.1,1.8,573,156,8.4,2.2,1029,217,15,3.1,1456,251,21.3,3.4,1894,292,27.7,4,1123,261,16.4,3.7,386,128,5.6,1.8,35,40,0.5,0.6,925,199,13.5,2.8,4379,442,63.9,5.3,1544,293,22.5,4.1,200700,12015,1.46677314343701,0.0584568573271713
418,Northeast Georgia,No,30605,3466,ZCTA,ZCTA5 30605,5348,366,175,91,3.3,1.7,409,101,7.6,1.8,1111,218,20.8,3.8,1820,291,34,4.9,1066,164,19.9,2.7,531,122,9.9,2.2,206,65,3.9,1.2,30,30,0.6,0.6,584,136,10.9,2.4,3997,399,74.7,5.4,767,141,14.3,2.5,171900,4321,0.711271992555673,0.00942038039697669
419,Northwest Georgia,No,30513,3411,ZCTA,ZCTA5 30513,3724,365,183,106,4.9,2.8,496,174,13.3,4.5,473,174,12.7,4.5,674,191,18.1,4.8,971,218,26.1,5.3,665,185,17.9,4.6,208,101,5.6,2.7,54,49,1.5,1.3,679,204,18.2,5.2,2118,338,56.9,7.2,927,216,24.9,5.3,202800,18479,2.67016635482845,0.0385304943665539
420,Northeast Georgia,No,30606,3467,ZCTA,ZCTA5 30606,8319,386,238,130,2.9,1.6,566,159,6.8,1.9,1332,267,16,3.1,1325,211,15.9,2.4,2030,265,24.4,3,1667,218,20,2.5,1037,165,12.5,1.9,124,61,1.5,0.7,804,206,9.7,2.4,4687,431,56.3,4.5,2828,280,34,3,230000,10658,0.725485985577773,0.00780114335033466
421,Georgia Mountains,No,30516,3412,ZCTA,ZCTA5 30516,644,152,225,124,34.9,17.4,146,71,22.7,9.7,109,55,16.9,7.5,91,64,14.1,9.4,43,31,6.7,4.6,21,21,3.3,3.2,9,21,1.4,3.3,0,23,0,3.5,371,143,57.6,17.5,243,90,37.7,10.8,30,38,4.7,5.8,71300,26169,0.428596989432394,0.00535053072809706
422,Northeast Georgia,No,30607,3468,ZCTA,ZCTA5 30607,2279,264,132,109,5.8,4.7,477,184,20.9,7.7,455,144,20,5.9,373,141,16.4,5.9,534,169,23.4,6.9,257,106,11.3,4.5,38,42,1.7,1.8,13,36,0.6,1.6,609,214,26.7,8.8,1362,263,59.8,9.3,308,119,13.5,5,157300,15415,0.730138053807939,0.00910389603832897
423,ARC / GM / NE,Partial,30517,3413,ZCTA,ZCTA5 30517,4617,341,71,62,1.5,1.3,247,106,5.3,2.3,432,130,9.4,2.7,620,182,13.4,3.8,1545,249,33.5,4.8,820,189,17.8,3.9,784,212,17,4.4,98,71,2.1,1.5,318,123,6.9,2.6,2597,334,56.2,5.9,1702,293,36.9,5.7,258600,12614,0.577352982364192,0.00714346070038243
424,Northeast Georgia,No,30609,3469,ZCTA,ZCTA5 30609,0,13,0,37,,,0,29,,,0,18,,,0,18,,,0,18,,,0,18,,,0,18,,,0,23,,,0,47,,,0,32,,,0,34,,,,,0.00999521167641778,5.90347667244378e-06
425,Northeast Georgia,No,30619,3470,ZCTA,ZCTA5 30619,433,108,58,43,13.4,9.3,38,25,8.8,5.2,87,49,20.1,10,130,77,30,16.1,84,41,19.4,8.2,36,35,8.3,7.7,0,18,0,4.2,0,23,0,5.2,96,49,22.2,10,301,100,69.5,15.2,36,45,8.3,10.2,164000,18533,0.674493636927929,0.00681144495385142
426,ARC / NE,Yes,30620,3471,ZCTA,ZCTA5 30620,4095,316,135,80,3.3,1.9,284,129,6.9,3.1,949,234,23.2,5.4,1569,261,38.3,5.7,858,230,21,5.4,244,107,6,2.6,38,37,0.9,0.9,18,32,0.4,0.8,419,152,10.2,3.6,3376,419,82.4,8,300,118,7.3,2.8,167500,4866,0.668521734719414,0.00622942214947641
427,Northeast Georgia,No,30621,3472,ZCTA,ZCTA5 30621,1630,164,50,45,3.1,2.8,106,48,6.5,2.9,157,79,9.6,4.7,107,50,6.6,3,384,110,23.6,6.3,581,120,35.6,6.4,206,74,12.6,4.4,39,42,2.4,2.6,156,66,9.6,3.9,648,144,39.8,7.9,826,147,50.7,7.4,303900,29524,0.928617523791151,0.0124696399412837
428,Northeast Georgia,Partial,30622,3473,ZCTA,ZCTA5 30622,3235,300,48,63,1.5,1.9,250,105,7.7,3.2,255,104,7.9,3.1,538,151,16.6,4.4,753,184,23.3,5.3,1021,235,31.6,6.6,335,121,10.4,3.6,35,54,1.1,1.7,298,123,9.2,3.7,1546,260,47.8,6.7,1391,270,43,7.3,268900,25928,1.10020146704536,0.0105317841806933
429,Northeast Georgia,No,30623,3474,ZCTA,ZCTA5 30623,18,17,0,37,0,204.3,5,28,27.8,152.5,6,16,33.3,85.5,0,18,0,102.1,7,8,38.9,21,0,18,0,102.1,0,18,0,102.1,0,23,0,125.1,5,46,27.8,254.9,13,26,72.2,126,0,34,0,191.1,,,0.134180351110027,0.000545674775116151
430,GM / NE,No,30624,3475,ZCTA,ZCTA5 30624,802,141,229,76,28.6,8.1,261,94,32.5,10.3,139,74,17.3,8.7,53,33,6.6,3.9,51,42,6.4,5.1,52,47,6.5,5.8,15,21,1.9,2.5,2,19,0.2,2.3,490,121,61.1,10.6,243,91,30.3,10,69,55,8.6,6.7,77300,10047,0.819495416371357,0.0110114367424452
431,Coastal Regional Commission,No,31312,3668,ZCTA,ZCTA5 31312,5999,347,289,110,4.8,1.8,986,221,16.4,3.6,1227,220,20.5,3.5,1281,243,21.4,3.9,1484,207,24.7,3.1,684,156,11.4,2.5,11,28,0.2,0.5,37,60,0.6,1,1275,247,21.3,3.9,3992,388,66.5,5.2,732,169,12.2,2.7,164800,7140,1.60846024080913,0.0397893916312222
432,MG / NE,No,30625,3476,ZCTA,ZCTA5 30625,729,128,6,36,0.8,4.9,103,85,14.1,11.4,65,41,8.9,5.3,81,47,11.1,6.1,292,95,40.1,11,162,60,22.2,7.3,20,17,2.7,2.3,0,23,0,3.1,109,92,15,12.4,438,114,60.1,11.5,182,67,25,8,229300,17940,0.679886076382072,0.0122397031961416
